000000000:  212a202a
00000078c:  00000000
000000790:  00000000
000000794:  00000000
000000798:  00000000
00000079c:  00000000
0000007a0:  00000000
0000007a4:  00000000
0000007a8:  00000000
0000007ac:  00000000
0000007b0:  00000000
0000007b4:  00000000
0000007b8:  00000000
0000007bc:  00000000
0000007c0:  00000000
0000007c4:  00000000
0000007c8:  00000000
0000007cc:  00000000
0000007d0:  00000000
0000007d4:  00000000
0000007d8:  00000000
0000007dc:  00000000
0000007e0:  00000000
0000007e4:  00000000
0000007e8:  00000000
0000007ec:  00000000
0000007f0:  00000000
0000007f4:  00000000
0000007f8:  00000000
0000007fc:  00000000
000000800:  00000000
000000804:  00000000
000000808:  00000000
00000080c:  00000000
000000810:  00000000
000000814:  00000000
000000818:  00000000
00000081c:  00000000
000000820:  00000000
000000824:  00000000
000000828:  00000000
00000082c:  00000000
000000830:  00000000
000000834:  00000000
000000838:  00000000
00000083c:  00000000
000000840:  00000000
000000844:  00000000
000000848:  00000000
00000084c:  00000000
000000850:  00000000
000000854:  00000000
000000858:  00000000
00000085c:  00000000
000000860:  00000000
000000864:  00000000
000000868:  00000000
00000086c:  00000000
000000870:  00000000
000000874:  00000000
000000878:  00000000
00000087c:  00000000
000000880:  00000000
000000884:  00000000
000000888:  00000000
00000088c:  00000000
000000890:  00000000
000000894:  00000000
000000898:  00000000
00000089c:  00000000
0000008a0:  00000000
0000008a4:  00000000
0000008a8:  00000000
0000008ac:  00000000
0000008b0:  00000000
0000008b4:  00000000
0000008b8:  00000000
0000008bc:  00000000
0000008c0:  00000000
0000008c4:  00000000
0000008c8:  00000000
0000008cc:  00000000
0000008d0:  00000000
0000008d4:  00000000
0000008d8:  00000000
0000008dc:  00000000
0000008e0:  00000000
0000008e4:  00000000
0000008e8:  00000000
0000008ec:  00000000
0000008f0:  00000000
0000008f4:  00000000
0000008f8:  00000000
0000008fc:  00000000
000000900:  00000000
000000904:  00000000
000000908:  00000000
00000090c:  00000000
000000910:  00000000
000000914:  00000000
000000918:  00000000
00000091c:  00000000
000000920:  00000000
000000924:  00000000
000000928:  00000000
00000092c:  00000000
000000930:  00000000
000000934:  00000000
000000938:  00000000
00000093c:  00000000
000000940:  00000000
000000944:  00000000
000000948:  00000000
00000094c:  00000000
000000950:  00000000
000000954:  00000000
000000958:  00000000
00000095c:  00000000
000000960:  00000000
000000964:  00000000
000000968:  00000000
00000096c:  00000000
000000970:  00000000
000000974:  00000000
000000978:  00000000
00000097c:  00000000
000000980:  00000000
000000984:  00000000
000000988:  00000000
00000098c:  00000000
000000990:  00000000
000000994:  00000000
000000998:  00000000
00000099c:  00000000
0000009a0:  00000000
0000009a4:  00000000
0000009a8:  00000000
0000009ac:  00000000
0000009b0:  00000000
0000009b4:  00000000
0000009b8:  00000000
0000009bc:  00000000
0000009c0:  00000000
0000009c4:  00000000
0000009c8:  00000000
0000009cc:  00000000
0000009d0:  00000000
0000009d4:  00000000
0000009d8:  00000000
0000009dc:  00000000
0000009e0:  00000000
0000009e4:  00000000
0000009e8:  00000000
0000009ec:  00000000
0000009f0:  00000000
0000009f4:  00000000
0000009f8:  00000000
0000009fc:  00000000
000000a00:  00000000
000000a04:  00000000
000000a08:  00000000
000000a0c:  00000000
000000a10:  00000000
000000a14:  00000000
000000a18:  00000000
000000a1c:  00000000
000000a20:  00000000
000000a24:  00000000
000000a28:  00000000
000000a2c:  00000000
000000a30:  00000000
000000a34:  00000000
000000a38:  00000000
000000a3c:  00000000
000000a40:  00000000
000000a44:  00000000
000000a48:  00000000
000000a4c:  00000000
000000a50:  00000000
000000a54:  00000000
000000a58:  00000000
000000a5c:  00000000
000000a60:  00000000
000000a64:  00000000
000000a68:  00000000
000000a6c:  00000000
000000a70:  00000000
000000a74:  00000000
000000a78:  00000000
000000a7c:  00000000
000000a80:  00000000
000000a84:  00000000
000000a88:  00000000
000000a8c:  00000000
000000a90:  00000000
000000a94:  00000000
000000a98:  00000000
000000a9c:  00000000
000000aa0:  00000000
000000aa4:  00000000
000000aa8:  00000000
000000aac:  00000000
000000ab0:  00000000
000000ab4:  00000000
000000ab8:  00000000
000000abc:  00000000
000000ac0:  00000000
000000ac4:  00000000
000000ac8:  00000000
000000acc:  00000000
000000ad0:  00000000
000000ad4:  00000000
000000ad8:  00000000
000000adc:  00000000
000000ae0:  00000000
000000ae4:  00000000
000000ae8:  00000000
000000aec:  00000000
000000af0:  00000000
000000af4:  00000000
000000af8:  00000000
000000afc:  00000000
000000b00:  00000000
000000b04:  00000000
000000b08:  00000000
000000b0c:  00000000
000000b10:  00000000
000000b14:  00000000
000000b18:  00000000
000000b1c:  00000000
000000b20:  00000000
000000b24:  00000000
000000b28:  00000000
000000b2c:  00000000
000000b30:  00000000
000000b34:  00000000
000000b38:  00000000
000000b3c:  00000000
000000b40:  00000000
000000b44:  00000000
000000b48:  00000000
000000b4c:  00000000
000000b50:  00000000
000000b54:  00000000
000000b58:  00000000
000000b5c:  00000000
000000b60:  00000000
000000b64:  00000000
000000b68:  00000000
000000b6c:  00000000
000000b70:  00000000
000000b74:  00000000
000000b78:  00000000
000000b7c:  00000000
000000b80:  00000000
000000b84:  00000000
000000b88:  00000000
000000b8c:  00000000
000000b90:  00000000
000000b94:  00000000
000000b98:  00000000
000000b9c:  00000000
000000ba0:  00000000
000000ba4:  00000000
000000ba8:  00000000
000000bac:  00000000
000000bb0:  00000000
000000bb4:  00000000
000000bb8:  00000000
000000bbc:  00000000
000000bc0:  00000000
000000bc4:  00000000
000000bc8:  00000000
000000bcc:  00000000
000000bd0:  00000000
000000bd4:  00000000
000000bd8:  00000000
000000bdc:  00000000
000000be0:  00000000
000000be4:  00000000
000000be8:  00000000
000000bec:  00000000
000000bf0:  00000000
000000bf4:  00000000
000000bf8:  00000000
000000bfc:  00000000
000000c00:  00000000
000000c04:  00000000
000000c08:  00000000
000000c0c:  00000000
000000c10:  00000000
000000c14:  00000000
000000c18:  00000000
000000c1c:  00000000
000000c20:  00000000
000000c24:  00000000
000000c28:  00000000
000000c2c:  00000000
000000c30:  00000000
000000c34:  00000000
000000c38:  00000000
000000c3c:  00000000
000000c40:  00000000
000000c44:  00000000
000000c48:  00000000
000000c4c:  00000000
000000c50:  00000000
000000c54:  00000000
000000c58:  00000000
000000c5c:  00000000
000000c60:  00000000
000000c64:  00000000
000000c68:  00000000
000000c6c:  00000000
000000c70:  00000000
000000c74:  00000000
000000c78:  00000000
000000c7c:  00000000
000000c80:  00000000
000000c84:  00000000
000000c88:  00000000
000000c8c:  00000000
000000c90:  00000000
000000c94:  00000000
000000c98:  00000000
000000c9c:  00000000
000000ca0:  00000000
000000ca4:  00000000
000000ca8:  00000000
000000cac:  00000000
000000cb0:  00000000
000000cb4:  00000000
000000cb8:  00000000
000000cbc:  00000000
000000cc0:  00000000
000000cc4:  00000000
000000cc8:  00000000
000000ccc:  00000000
000000cd0:  00000000
000000cd4:  00000000
000000cd8:  00000000
000000cdc:  00000000
000000ce0:  00000000
000000ce4:  00000000
000000ce8:  00000000
000000cec:  00000000
000000cf0:  00000000
000000cf4:  00000000
000000cf8:  00000000
000000cfc:  00000000
000000d00:  00000000
000000d04:  00000000
000000d08:  00000000
000000d0c:  00000000
000000d10:  00000000
000000d14:  00000000
000000d18:  00000000
000000d1c:  00000000
000000d20:  00000000
000000d24:  00000000
000000d28:  00000000
000000d2c:  00000000
000000d30:  00000000
000000d34:  00000000
000000d38:  00000000
000000d3c:  00000000
000000d40:  00000000
000000d44:  00000000
000000d48:  00000000
000000d4c:  00000000
000000d50:  00000000
000000d54:  00000000
000000d58:  00000000
000000d5c:  00000000
000000d60:  00000000
000000d64:  00000000
000000d68:  00000000
000000d6c:  00000000
000000d70:  00000000
000000d74:  00000000
000000d78:  00000000
000000d7c:  00000000
000000d80:  00000000
000000d84:  00000000
000000d88:  00000000
000000d8c:  00000000
000000d90:  00000000
000000d94:  00000000
000000d98:  00000000
000000d9c:  00000000
000000da0:  00000000
000000da4:  00000000
000000da8:  00000000
000000dac:  00000000
000000db0:  00000000
000000db4:  00000000
000000db8:  00000000
000000dbc:  00000000
000000dc0:  00000000
000000dc4:  00000000
000000dc8:  00000000
000000dcc:  00000000
000000dd0:  00000000
000000dd4:  00000000
000000dd8:  00000000
000000ddc:  00000000
000000de0:  00000000
000000de4:  00000000
000000de8:  00000000
000000dec:  00000000
000000df0:  00000000
000000df4:  00000000
000000df8:  00000000
000000dfc:  00000000
000000e00:  00000000
000000e04:  00000000
000000e08:  00000000
000000e0c:  00000000
000000e10:  00000000
000000e14:  00000000
000000e18:  00000000
000000e1c:  00000000
000000e20:  00000000
000000e24:  00000000
000000e28:  00000000
000000e2c:  00000000
000000e30:  00000000
000000e34:  00000000
000000e38:  00000000
000000e3c:  00000000
000000e40:  00000000
000000e44:  00000000
000000e48:  00000000
000000e4c:  00000000
000000e50:  00000000
000000e54:  00000000
000000e58:  00000000
000000e5c:  00000000
000000e60:  00000000
000000e64:  00000000
000000e68:  00000000
000000e6c:  00000000
000000e70:  00000000
000000e74:  00000000
000000e78:  00000000
000000e7c:  00000000
000000e80:  00000000
000000e84:  00000000
000000e88:  00000000
000000e8c:  00000000
000000e90:  00000000
000000e94:  00000000
000000e98:  00000000
000000e9c:  00000000
000000ea0:  00000000
000000ea4:  00000000
000000ea8:  00000000
000000eac:  00000000
000000eb0:  00000000
000000eb4:  00000000
000000eb8:  00000000
000000ebc:  00000000
000000ec0:  00000000
000000ec4:  00000000
000000ec8:  00000000
000000ecc:  00000000
000000ed0:  00000000
000000ed4:  00000000
000000ed8:  00000000
000000edc:  00000000
000000ee0:  00000000
000000ee4:  00000000
000000ee8:  00000000
000000eec:  00000000
000000ef0:  00000000
000000ef4:  00000000
000000ef8:  00000000
000000efc:  00000000
000000f00:  00000000
000000f04:  00000000
000000f08:  00000000
000000f0c:  00000000
000000f10:  00000000
000000f14:  00000000
000000f18:  00000000
000000f1c:  00000000
000000f20:  00000000
000000f24:  00000000
000000f28:  00000000
000000f2c:  00000000
000000f30:  00000000
000000f34:  00000000
000000f38:  00000000
000000f3c:  00000000
000000f40:  00000000
000000f44:  00000000
000000f48:  00000000
000000f4c:  00000000
000000f50:  00000000
000000f54:  00000000
000000f58:  00000000
000000f5c:  00000000
000000f60:  00000000
000000f64:  00000000
000000f68:  00000000
000000f6c:  00000000
000000f70:  00000000
000000f74:  00000000
000000f78:  00000000
000000f7c:  00000000
000000f80:  00000000
000000f84:  00000000
000000f88:  00000000
000000f8c:  00000000
000000f90:  00000000
000000f94:  00000000
000000f98:  00000000
000000f9c:  00000000
000000fa0:  00000000
000000fa4:  00000000
000000fa8:  00000000
000000fac:  00000000
000000fb0:  00000000
000000fb4:  00000000
000000fb8:  00000000
000000fbc:  00000000
000000fc0:  00000000
000000fc4:  00000000
000000fc8:  00000000
000000fcc:  00000000
000000fd0:  00000000
000000fd4:  00000000
000000fd8:  00000000
000000fdc:  00000000
000000fe0:  00000000
000000fe4:  00000000
000000fe8:  00000000
000000fec:  00000000
000000ff0:  00000000
000000ff4:  00000000
000000ff8:  00000000
000000ffc:  00000000
-------------
Executing instruction @ 000000000: '0010000000101010'
Decoded instruction: MOVI with rdn=0, imm8= 42
pc=00000004, Z=0, N =0, C=0, V=0
 r0=0000002a,   r1=xxxxxxxx,   r2=xxxxxxxx,   r3=xxxxxxxx
 r4=xxxxxxxx,   r5=xxxxxxxx,   r6=xxxxxxxx,   r7=xxxxxxxx
 r8=xxxxxxxx,   r9=xxxxxxxx,  r10=xxxxxxxx,  r11=xxxxxxxx
r12=xxxxxxxx,  r13=xxxxxxxx,  r14=00000004,  r15=00000004


Executing instruction @ 000000002: '0010000100101010'
Decoded instruction: MOVI with rdn=1, imm8= 42
pc=00000006, Z=0, N =0, C=0, V=0
 r0=0000002a,   r1=0000002a,   r2=xxxxxxxx,   r3=xxxxxxxx
 r4=xxxxxxxx,   r5=xxxxxxxx,   r6=xxxxxxxx,   r7=xxxxxxxx
 r8=xxxxxxxx,   r9=xxxxxxxx,  r10=xxxxxxxx,  r11=xxxxxxxx
r12=xxxxxxxx,  r13=xxxxxxxx,  r14=00000006,  r15=00000006


Executing instruction @ 000000004: '1101111100000000'
r  0=0000002a
Decoded instruction: SVC with im8=  0
pc=00000008, Z=0, N =0, C=0, V=0
 r0=0000002a,   r1=0000002a,   r2=xxxxxxxx,   r3=xxxxxxxx
 r4=xxxxxxxx,   r5=xxxxxxxx,   r6=xxxxxxxx,   r7=xxxxxxxx
 r8=xxxxxxxx,   r9=xxxxxxxx,  r10=xxxxxxxx,  r11=xxxxxxxx
r12=xxxxxxxx,  r13=xxxxxxxx,  r14=00000008,  r15=00000008


Executing instruction @ 000000006: '0011000000000001'
Decoded instruction: ADDI with rdn=0, imm8=  1
pc=0000000a, Z=0, N =0, C=0, V=0
 r0=0000002b,   r1=0000002a,   r2=xxxxxxxx,   r3=xxxxxxxx
 r4=xxxxxxxx,   r5=xxxxxxxx,   r6=xxxxxxxx,   r7=xxxxxxxx
 r8=xxxxxxxx,   r9=xxxxxxxx,  r10=xxxxxxxx,  r11=xxxxxxxx
r12=xxxxxxxx,  r13=xxxxxxxx,  r14=0000000a,  r15=0000000a


Executing instruction @ 000000008: '1101111100000000'
r  0=0000002b
Decoded instruction: SVC with im8=  0
pc=0000000c, Z=0, N =0, C=0, V=0
 r0=0000002b,   r1=0000002a,   r2=xxxxxxxx,   r3=xxxxxxxx
 r4=xxxxxxxx,   r5=xxxxxxxx,   r6=xxxxxxxx,   r7=xxxxxxxx
 r8=xxxxxxxx,   r9=xxxxxxxx,  r10=xxxxxxxx,  r11=xxxxxxxx
r12=xxxxxxxx,  r13=xxxxxxxx,  r14=0000000c,  r15=0000000c


Executing instruction @ 00000000a: '0011100000000001'
Decoded instruction: SUBI with rdn=0, imm8=  1
pc=0000000e, Z=0, N =0, C=0, V=0
 r0=0000002a,   r1=0000002a,   r2=xxxxxxxx,   r3=xxxxxxxx
 r4=xxxxxxxx,   r5=xxxxxxxx,   r6=xxxxxxxx,   r7=xxxxxxxx
 r8=xxxxxxxx,   r9=xxxxxxxx,  r10=xxxxxxxx,  r11=xxxxxxxx
r12=xxxxxxxx,  r13=xxxxxxxx,  r14=0000000e,  r15=0000000e


Executing instruction @ 00000000c: '0001100001001000'
Decoded instruction: ADDR with rn=1, rm=1, rd=0
pc=00000010, Z=0, N =0, C=0, V=0
 r0=00000054,   r1=0000002a,   r2=xxxxxxxx,   r3=xxxxxxxx
 r4=xxxxxxxx,   r5=xxxxxxxx,   r6=xxxxxxxx,   r7=xxxxxxxx
 r8=xxxxxxxx,   r9=xxxxxxxx,  r10=xxxxxxxx,  r11=xxxxxxxx
r12=xxxxxxxx,  r13=xxxxxxxx,  r14=00000010,  r15=00000010


Executing instruction @ 00000000e: '1101111100000000'
r  0=00000054
Decoded instruction: SVC with im8=  0
pc=00000012, Z=0, N =0, C=0, V=0
 r0=00000054,   r1=0000002a,   r2=xxxxxxxx,   r3=xxxxxxxx
 r4=xxxxxxxx,   r5=xxxxxxxx,   r6=xxxxxxxx,   r7=xxxxxxxx
 r8=xxxxxxxx,   r9=xxxxxxxx,  r10=xxxxxxxx,  r11=xxxxxxxx
r12=xxxxxxxx,  r13=xxxxxxxx,  r14=00000012,  r15=00000012


Executing instruction @ 000000010: '0010001000000010'
Decoded instruction: MOVI with rdn=2, imm8=  2
pc=00000014, Z=0, N =0, C=0, V=0
 r0=00000054,   r1=0000002a,   r2=00000002,   r3=xxxxxxxx
 r4=xxxxxxxx,   r5=xxxxxxxx,   r6=xxxxxxxx,   r7=xxxxxxxx
 r8=xxxxxxxx,   r9=xxxxxxxx,  r10=xxxxxxxx,  r11=xxxxxxxx
r12=xxxxxxxx,  r13=xxxxxxxx,  r14=00000014,  r15=00000014


Executing instruction @ 000000012: '0100001101010000'
Decoded instruction: MULR with rn=2, rdn=0
pc=00000016, Z=0, N =0, C=0, V=0
 r0=000000a8,   r1=0000002a,   r2=00000002,   r3=xxxxxxxx
 r4=xxxxxxxx,   r5=xxxxxxxx,   r6=xxxxxxxx,   r7=xxxxxxxx
 r8=xxxxxxxx,   r9=xxxxxxxx,  r10=xxxxxxxx,  r11=xxxxxxxx
r12=xxxxxxxx,  r13=xxxxxxxx,  r14=00000016,  r15=00000016


Executing instruction @ 000000014: '1101111100000000'
r  0=000000a8
Decoded instruction: SVC with im8=  0
pc=00000018, Z=0, N =0, C=0, V=0
 r0=000000a8,   r1=0000002a,   r2=00000002,   r3=xxxxxxxx
 r4=xxxxxxxx,   r5=xxxxxxxx,   r6=xxxxxxxx,   r7=xxxxxxxx
 r8=xxxxxxxx,   r9=xxxxxxxx,  r10=xxxxxxxx,  r11=xxxxxxxx
r12=xxxxxxxx,  r13=xxxxxxxx,  r14=00000018,  r15=00000018


Executing instruction @ 000000016: '0010000110101000'
Decoded instruction: MOVI with rdn=1, imm8=168
pc=0000001a, Z=0, N =0, C=0, V=0
 r0=000000a8,   r1=000000a8,   r2=00000002,   r3=xxxxxxxx
 r4=xxxxxxxx,   r5=xxxxxxxx,   r6=xxxxxxxx,   r7=xxxxxxxx
 r8=xxxxxxxx,   r9=xxxxxxxx,  r10=xxxxxxxx,  r11=xxxxxxxx
r12=xxxxxxxx,  r13=xxxxxxxx,  r14=0000001a,  r15=0000001a


Executing instruction @ 000000018: '1101111100000000'
r  0=000000a8
Decoded instruction: SVC with im8=  0
pc=0000001c, Z=0, N =0, C=0, V=0
 r0=000000a8,   r1=000000a8,   r2=00000002,   r3=xxxxxxxx
 r4=xxxxxxxx,   r5=xxxxxxxx,   r6=xxxxxxxx,   r7=xxxxxxxx
 r8=xxxxxxxx,   r9=xxxxxxxx,  r10=xxxxxxxx,  r11=xxxxxxxx
r12=xxxxxxxx,  r13=xxxxxxxx,  r14=0000001c,  r15=0000001c


Executing instruction @ 00000001a: '0100000001001000'
Decoded instruction: EORR with rn=1, rdn=0
pc=0000001e, Z=1, N =0, C=0, V=0
 r0=00000000,   r1=000000a8,   r2=00000002,   r3=xxxxxxxx
 r4=xxxxxxxx,   r5=xxxxxxxx,   r6=xxxxxxxx,   r7=xxxxxxxx
 r8=xxxxxxxx,   r9=xxxxxxxx,  r10=xxxxxxxx,  r11=xxxxxxxx
